Warehouse_ID,Location,Current_Stock,Demand_Forecast,Lead_Time_Days,Shipping_Time_Days,Stockout_Risk,Operational_Cost,Supplier_ID,Product_Category,Monthly_Sales,Order_Processing_Time,Return_Rate,Customer_Rating,Warehouse_Capacity,Storage_Cost,Transportation_Cost,Backorder_Quantity,Damaged_Goods,Employee_Count,Total_order_cycle_time,Total_Logistics_Cost,Net_profit,Cost_Efficiency_Ratio,Capacity_Utilization,Inventory_Turnover_Ratio,Stock_to_Demand_Ratio
WH239,Dallas,3926,484,8,3,7,93895,S693,Groceries,4893,4.766230718764152,6.053951997842127,3.840976300612479,28701,16975,2778,228,26,83,7.766230718764152,113648,-108755,23.22665031677907,13.678965889690256,1.2463066734589914,8.111570247933884
WH244,Houston,3032,5122,3,6,25,46847,S880,Electronics,4453,4.3043353239038735,3.8869957959395016,2.113928974421545,36198,14052,1535,288,16,39,10.304335323903874,62434,-57981,14.020660229059061,8.376153378639705,1.4686675461741425,0.5919562670831706
WH340,Chicago,4763,4343,5,5,16,64176,S116,Furniture,5956,1.030779123572021,7.335160144687795,4.211437108477245,22784,9863,13435,153,3,49,6.030779123572021,87474,-81518,14.686702484889187,20.90502106741573,1.2504723913499896,1.09670734515312
WH428,Atlanta,2219,777,7,6,15,38940,S431,Apparel,5814,2.871244047490718,1.393481491074176,1.75167148929249,13172,15911,14508,143,39,35,8.871244047490718,69359,-63545,11.929652562779498,16.846340722745218,2.6200991437584498,2.855855855855856
WH202,Dallas,809,4756,2,7,16,33933,S821,Electronics,2279,4.060930355752779,4.212666134979816,4.231919058684772,39619,19011,1904,296,30,67,11.06093035575278,54848,-52569,24.066695919262834,2.041949569650925,2.8170580964153276,0.1701009251471825
WH211,San Francisco,3840,666,9,1,19,30165,S459,Automotive,1326,0.6600062771781208,2.4114358026966034,1.1109878521328849,32490,9766,807,181,17,20,1.6600062771781208,40738,-39412,30.722473604826547,11.819021237303785,0.3453125,5.7657657657657655
WH008,Atlanta,4757,4776,7,7,12,38284,S655,Apparel,6186,3.0847965356528952,4.195065786911762,1.0104315934628012,19414,6995,8901,237,25,94,10.084796535652895,54180,-47994,8.758486905916586,24.502936025548575,1.3003994113937356,0.9960217755443886
WH438,Atlanta,4803,2432,9,5,20,45299,S845,Electronics,5539,2.433819850658695,6.010138788250456,2.4498315534415,42401,17954,13519,172,9,91,7.433819850658695,76772,-71233,13.860263585484745,11.32756302917384,1.153237559858422,1.9749177631578947
WH106,New York,1401,2940,10,6,22,36265,S456,Apparel,1822,1.2916557112728806,3.147317563356474,4.739126956890537,18053,17284,773,205,17,78,7.291655711272881,54322,-52500,29.814489571899013,7.760483022212375,1.3004996431120628,0.47653061224489796
WH099,New York,4213,3732,5,7,20,57333,S569,Electronics,4608,3.099240002721201,3.218993567473094,2.698892569190911,31286,5653,7017,97,44,58,10.099240002721201,70003,-65395,15.19162326388889,13.466087067698012,1.0937574175172087,1.1288853161843515
WH366,Los Angeles,1670,1713,10,2,20,71498,S813,Apparel,2147,0.7200289387458421,3.94978986646152,1.610447554524986,37590,19542,13230,123,15,90,2.720028938745842,104270,-102123,48.56544014904518,4.44267092311785,1.2856287425149702,0.9748978400467017
